,Linear reg,Ridge,Lasso,Stability,RFE,RF,Corr.,MIC,mean,median
accounting,0.01,0.02,0.01,0.85,0.11,0.0,0.17,0.66,0.22875,0.11
airport,0.78,0.38,0.76,0.97,0.95,0.0,0.0,0.18,0.5025,0.5025
amusement_park,1.0,0.89,1.0,0.99,1.0,0.36,0.13,0.13,0.6875,0.89
aquarium,0.16,0.04,0.1,0.0,0.76,0.0,0.0,0.0,0.1325,0.04
art_gallery,0.03,0.06,0.03,0.97,0.63,0.07,0.25,0.78,0.35250000000000004,0.25
atm,0.01,0.02,0.01,0.94,0.15,0.01,0.27,0.72,0.26625,0.15
bakery,0.05,0.1,0.05,0.99,0.61,0.04,0.48,0.81,0.39125,0.39125
bank,0.03,0.06,0.03,1.0,0.51,0.02,0.19,0.64,0.31,0.19
bar,0.02,0.04,0.02,0.93,0.43,0.13,0.25,0.55,0.29625,0.25
beauty_salon,0.03,0.06,0.03,1.0,0.41,0.36,0.33,0.81,0.37875000000000003,0.36
bicycle_store,0.02,0.0,0.02,0.91,0.34,0.01,0.0,0.67,0.24625000000000002,0.02
book_store,0.12,0.25,0.12,1.0,0.77,0.04,0.08,0.82,0.39999999999999997,0.25
bowling_alley,0.26,0.26,0.26,0.99,0.91,0.0,0.0,0.41,0.38625000000000004,0.26
bus_station,0.04,0.06,0.04,0.9,0.59,0.01,0.22,0.73,0.32375,0.22
cafe,0.04,0.12,0.04,0.93,0.54,0.01,0.6,0.92,0.4,0.4
campground,0.06,0.01,0.05,0.85,0.84,0.0,0.0,0.19,0.25,0.06
car_dealer,0.12,0.2,0.12,1.0,0.9,0.01,0.02,0.64,0.37625,0.2
car_rental,0.19,0.34,0.19,1.0,0.87,0.88,0.41,0.65,0.56625,0.56625
car_repair,0.03,0.06,0.03,0.99,0.49,0.05,0.02,0.64,0.28875,0.06
car_wash,0.11,0.23,0.11,0.94,0.73,0.0,0.0,0.56,0.335,0.23
casino,0.22,0.15,0.21,0.96,1.0,0.0,0.0,0.16,0.3375,0.21
cemetery,0.01,0.01,0.01,0.81,0.13,0.0,0.0,0.58,0.19375,0.01
church,0.05,0.09,0.05,0.99,0.65,0.0,0.03,0.59,0.30625,0.09
city_hall,0.14,0.21,0.14,1.0,0.99,0.0,0.03,0.64,0.39375,0.21
clothing_store,0.01,0.01,0.01,0.85,0.16,0.01,0.32,0.75,0.265,0.16
convenience_store,0.21,0.31,0.21,1.0,0.92,0.0,0.0,0.58,0.40375,0.31
