name,count
"""Physio & Sport am Bahnhof"" S. Livas & P. Hüsler",2
$$$ Speedy-Cash Basel $$$,2
$$$ Speedy-Cash Bern $$$,2
$$$ Speedy-Cash Bern Zentrum $$$,2
'Arabelle' Karin Nesnidal,2
'Fédéral' - Liegenschaften AG,4
"'L'Orchidée', Sylvia Colella-Caputo",2
'Olé-Olé',2
'Schöne Reise-Welt' Euro Touristik International AG,2
'Thai Take Away' di Suthin Sinzig,3
- CULTWEINE - DI LENARDO & CO ZURICH,2
1.2.3,8
123immo.ch,3
1291 Insurance Brokers SA,2
1906 by Angéloz,2
2 FRIAS Gypserie-Peinture Sàrl,2
2 Fr Shop,2
20/20,3
22-Cantons,2
2XC Bijoux,3
365 Tage Einkaufen,2
3A Immo SA,3
3D BODY BALANCE,2
3eck Bar,2
4 Seasons Sport,2
4 You Parrucchieri Sagl,2
4Fit Sàrl,2
5asec,29
5àSec Textilreinigung,4
7camicie urlo-fashion store,3
7ème pas Sonderegger GmbH,2
8 Bar,2
90 Grad Hair Studio,3
A & B Treuhand AG,2
A L'étage Coiffure,2
"A l ex coiffure, Alexandra Rody Geinoz",2
"A la mode, Christiane Littmann",2
A s S Althaus Stellenvermittlung,2
A à Z Emplois Neuchâtel,3
A-Ambiance Kosmetikinstitut de Beauté eidg. dipl. Kosmetikerin D. Häusermann,2
A-Chau,2
A. Fumagalli,2
A. Köhler AG,6
A. Picardi Intercoiffure,2
A. Polli SA,2
A. Z. Restocite Sàrl,2
A.S Massage,2
A3.C SA,2
AAA Immobiliare Sagl,3
"AARE KLINIK, Plastische und Ästhetische Chirurgie, PD Dr. med. Oliver Scheufler",2
ABC Print GmbH,2
ABCBEAUTY,2
"ACE European Group Limited, London, Zweigniederlassung Zürich",3
ACHATDOR.CH Bienne,2
ACHATDOR.CH Bulle,2
ACL - Augen Center für Laser- und Microchirurgie GmbH,2
ACTIV FITNESS,21
AD+P architetti SA,2
ADAMEK Schmuck zeigt Stil,3
ADV CASH,2
AEK BANK 1826,7
AESTHETICUM,2
AF QUEEN Lingerie Shop,2
AFP Küchen AG,2
AG für Ausbildung im Tourismus AGT,2
AGP Physiotherapy & Medical Fitness,2
AGP physiothérapie & fitness médical,2
AILS Lausanne,2
AK Bautreuhand AG,2
AKB Bancomat,22
AKMAN Finanz GmbH,2
"AL Koutoubia, Outaleb Abderrahim",2
ALARMANLAGEN + VIDEOÜBERWACHUNG UNIVERSAL SECURITY GmbH,2
ALC A la Clinique Sa - Médecine esthétique et Centre Laser - Beauté Femme & Homme,2
ALDI,16
ALL NAILS,2
ALLGEMEIN:ASTHETIK&NOTFALL ZAHNARZTPRAXIS Dr V.Unterfinger &Dr S.Sylver,2
ALUAG.CH,2
"AM RO Immobilienservice, Roger Amrein",2
AMAG Schaffhausen,2
AME&T Group S.A,3
AMERON Hotel Flora Luzern,3
AMImmobilien Müller,2
"ANA SOUSA - Bulle, Osmose Boutique",2
ANNA BIJOUX,2
ANNA K. First and Secondhand Fashion,2
ANOUK,38
APCOA Tiefgarage Centralbahnparking,2
APM Praxis Denise Engler,2
ARGENTUM Schmuck,4
ARNOLD & SOHN Bestattungsdienst AG,2
ART Computer,2
ART OF BEAUTY Beauty Center,2
ARVINO Luxury Wine Shop,3
ASIAN FONDUE HOUSE,2
ASP Aviation Services Provider GmbH,2
ATM,5
ATM CS,2
ATM Raiffeisen,2
AUBE FILMFESTIVAL,2
"AURA Restaurant, Bar & Smoker's Lounge, Eventsaal",2
AUSTRALIAN BOAT and more,2
AVE Finanz GmbH,2
AVIA Tankstelle,2
AVIA Tankstelle mit Shop,2
AVIA Tankstellen-Shop,2
AVISTA TREUHAND,2
AXA,3
AXA Winterthur,2
"AXA Winterthur, Agence générale Alain Publioz",2
"AXA Winterthur, Agence générale Philippe Magne",3
"AXA Winterthur, Agence générale Prévoyance & Patrimoine Corrado Gioia",3
"AXA Winterthur, Agence générale Prévoyance & Patrimoine Pierre Morel",2
"AXA Winterthur, Agence générale Sascha Steiner",2
"AXA Winterthur, Agence partenaire Raymond Rochat SA",2
"AXA Winterthur, Agence principale Cédric Palli",2
"AXA Winterthur, Agenzia generale Alfio Bordoli",2
"AXA Winterthur, Bureau de vente Prévoyance & Patrimoine",2
"AXA Winterthur, Generalagentur Daniel Jenni",3
"AXA Winterthur, Generalagentur Robert Eisenhut",2
"AXA Winterthur, Generalagentur Urs Tobler",2
"AXA Winterthur, Generalagentur Vorsorge & Vermögen Michael Seubert",3
"AXA Winterthur, Generalagentur Zug Reto Stirnimann",2
"AXA Winterthur, Geschäftsstelle Kleinbasel",2
"AXA Winterthur, Geschäftsstelle Vorsorge & Vermögen",7
"AXA Winterthur, Hauptagentur Alessandro Cavana",2
"AXA Winterthur, Hauptagentur Christoph Imhof",2
"AXA Winterthur, Hauptagentur Emilio Knecht",2
"AXA Winterthur, Hauptagentur Marc Hofstetter",2
"AXA Winterthur, Hauptagentur Werner Rüegg",2
AXENT-WOMEN,2
AZ-Advokatur,3
Aabaa 24 Std. Schlüsselservice GmbH,2
Aadam Ihr Partner für Massbekleidung,2
Aarau,2
Aare Zahnarztpraxis Dr. A. Urscheler,2
Aare • Pizzeria & Garage,2
Aarebar Solothurn,2
Aarezentrum Parkplatz Einfahrt,2
Aarezentrum Thun,2
Aargauische Kantonalbank,19
Aartichoke,3
Aawibo AG,4
Abbasso,2
Abbaye Thormandaz S.A.,2
